date,PM10,NO2,O3
2011-01-01,28.59,27.582083333333333,21.204583333333336
2011-01-02,11.76,12.072916666666666,46.750416666666666
2011-01-03,14.24,21.165416666666665,48.53875
2011-01-04,28.899999999999995,29.576666666666668,24.34875
2011-01-05,37.12,35.54666666666667,21.60166666666667
2011-01-06,8.67,24.420833333333334,39.08
2011-01-07,11.839999999999998,31.555833333333336,25.155833333333334
2011-01-08,25.63,16.261666666666667,43.384166666666665
2011-01-09,10.69,13.757916666666667,52.504999999999995
2011-01-10,11.199999999999998,27.456666666666667,28.65416666666667
2011-01-11,11.520000000000001,25.48125,23.902083333333334
2011-01-12,12.089999999999998,27.984583333333333,24.194999999999997
2011-01-13,12.82,28.935833333333335,22.437916666666666
2011-01-14,18.9,30.05333333333333,13.05625
2011-01-15,14.270000000000001,32.18625,18.37875
2011-01-16,23.47,30.387083333333333,9.450000000000001
2011-01-17,33.77,37.57541666666666,9.435833333333333
2011-01-18,50.39000000000001,47.57791666666666,4.679166666666666
2011-01-19,,31.13,23.664583333333336
2011-01-20,13.35,23.106956521739132,47.94208333333333
2011-01-21,10.949999999999998,9.56375,61.26333333333333
2011-01-22,15.64,9.654782608695653,59.42458333333334
2011-01-23,19.58,10.74304347826087,53.870000000000005
2011-01-24,37.93,31.7825,27.229166666666668
2011-01-25,51.4,41.891304347826086,13.382083333333334
2011-01-26,45.38,42.23416666666667,17.449166666666667
2011-01-27,29.74,28.757272727272724,22.9075
2011-01-28,32.62,28.737499999999997,21.936666666666667
2011-01-29,45.43,29.62391304347826,19.115416666666665
2011-01-30,50.78,19.078695652173913,25.550833333333333
2011-01-31,50.919999999999995,19.8175,29.244583333333335
2011-02-01,60.48,25.159999999999997,23.159583333333334
2011-02-02,54.98,34.058749999999996,19.2
2011-02-03,75.3,38.377826086956524,9.630416666666667
2011-02-04,60.15,47.93739130434783,12.444166666666668
2011-02-05,30.959999999999997,36.374347826086954,19.617916666666666
2011-02-06,39.77,48.62173913043478,14.705416666666666
2011-02-07,56.35999999999999,65.85583333333334,10.415833333333333
2011-02-08,55.330000000000005,67.73608695652175,11.017916666666666
2011-02-09,61.91,61.22,12.994166666666667
2011-02-10,68.1,67.40217391304348,9.44125
2011-02-11,57.69,52.592727272727274,16.937272727272727
2011-02-12,55.49,48.463913043478264,21.620416666666667
2011-02-13,58.64000000000001,34.38695652173913,31.41125
2011-02-14,52.64000000000001,36.1675,31.67375
2011-02-15,14.800000000000002,35.576521739130435,24.36791666666667
2011-02-16,30.52,28.36857142857143,15.413636363636364
2011-02-17,33.39,32.62086956521739,20.6925
2011-02-18,39.5,30.86125,12.821666666666667
2011-02-19,45.31,33.0195652173913,17.68166666666667
2011-02-20,28.73,22.128695652173914,34.07958333333333
2011-02-21,18.81,27.273749999999996,41.205
2011-02-22,22.2,30.432608695652174,23.050833333333333
2011-02-23,33.65,27.42375,35.079166666666666
2011-02-24,32.5,31.15608695652174,28.4525
2011-02-25,24.91,26.929166666666664,25.430833333333336
2011-02-26,16.08,21.371304347826086,32.8075
2011-02-27,5.55,13.795652173913044,50.89666666666667
2011-02-28,12.92,17.06681818181818,51.45791666666667
2011-03-01,32.25,25.98608695652174,43.305416666666666
2011-03-02,51.81,28.17695652173913,45.58521739130435
2011-03-03,42.39,33.07217391304348,41.22708333333333
2011-03-04,54.03,32.254583333333336,25.781666666666666
2011-03-05,60.04999999999999,32.3795652173913,25.964166666666667
2011-03-06,60.63,21.512608695652176,43.73541666666667
2011-03-07,44.73,25.470416666666665,43.197916666666664
2011-03-08,55.6,28.29478260869565,44.275416666666665
2011-03-09,39.59,42.81583333333333,47.82541666666666
2011-03-10,,35.98823529411764,48.98444444444445
2011-03-11,45.47,39.77166666666667,44.02291666666667
2011-03-12,57.28,43.001666666666665,28.44125
2011-03-13,48.44,33.22375,35.05916666666666
2011-03-14,19.13,39.13772727272727,34.56173913043478
2011-03-15,29.84,43.28695652173913,27.584166666666665
2011-03-16,35.85,41.98375,24.502916666666668
2011-03-17,10.59,26.447391304347825,31.65375
2011-03-18,18.91,26.221666666666668,30.917916666666667
2011-03-19,13.1,16.11608695652174,41.95875
2011-03-20,15.6,11.916956521739133,60.97125
2011-03-21,16.75,21.79625,58.91958333333333
2011-03-22,28.98,31.552608695652175,43.69083333333333
2011-03-23,30.84,38.5925,35.996249999999996
2011-03-24,40.82,44.59260869565217,32.474583333333335
2011-03-25,35.62,32.01583333333333,57.911249999999995
2011-03-26,23.12,28.543478260869566,68.07625
2011-03-27,25.2,22.822857142857142,49.51318181818181
2011-03-28,12.68,26.585652173913044,43.05217391304348
2011-03-29,19.19,26.28318181818182,44.03434782608696
2011-03-30,10.65,26.30304347826087,52.17304347826087
2011-03-31,,23.794117647058822,48.498333333333335
2011-04-01,18.76,26.326363636363634,27.75521739130435
2011-04-02,16.05,20.368636363636366,46.14478260869565
2011-04-03,19.84,12.445454545454545,64.38608695652174
2011-04-04,11.65,17.673809523809524,54.18619047619048
2011-04-05,13.19,25.274545454545454,38.49478260869565
2011-04-06,15.339999999999998,27.419565217391302,42.03434782608696
2011-04-07,23.459999999999997,31.34608695652174,46.1
2011-04-08,15.06,19.89409090909091,50.245000000000005
2011-04-09,17.17,18.725652173913044,66.4225
2011-04-10,15.339999999999998,11.727826086956522,72.19958333333334
2011-04-11,32.95,26.985833333333332,62.97083333333333
2011-04-12,19.52,14.051739130434783,67.34166666666667
2011-04-13,12.589999999999998,9.97,83.19208333333334
2011-04-14,15.479999999999999,15.341739130434783,81.45791666666666
